Logger:         	MadelineProto
Logger:         	Copyright (C) 2016-2022 Daniil Gentili
Logger:         	Licensed under AGPLv3
Logger:         	https://github.com/danog/MadelineProto
Serialization:  	Got exclusive session lock!
MTProto:        	Filling database cache. This can take few minutes.
MTProto:        	Cache filled.
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Reconnecting to DC 2 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.167.51:443 main DC 2, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 2.0
Session:        	Resetting session in DC 2.0...
DataCenter:     	Reconnecting to DC 1 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.175.55:443 main DC 1, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 1.0
Session:        	Resetting session in DC 1.0...
DataCenter:     	Reconnecting to DC 2_media (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.167.222:443 main DC 2_media, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 2_media.0
Session:        	Resetting session in DC 2_media.0...
DataCenter:     	Reconnecting to DC 3 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.175.100:443 main DC 3, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 3.0
Session:        	Resetting session in DC 3.0...
DataCenter:     	Reconnecting to DC 4 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.167.91:443 main DC 4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 4.0
Session:        	Resetting session in DC 4.0...
DataCenter:     	Reconnecting to DC 4_media (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.165.111:443 main DC 4_media, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 4_media.0
Session:        	Resetting session in DC 4_media.0...
DataCenter:     	Reconnecting to DC 5 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://91.108.56.116:443 main DC 5, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 5.0
Session:        	Resetting session in DC 5.0...
Connection:     	Connected to DC 4.0!
PingLoop:       	Ping DC 4.0
DataCenterConnection: 	Restoring 0 messages to DC 4
DataCenterConnection: 	Flushing pending messages, DC 4
DataCenter:     	OK!
Connection:     	Connected to DC 2.0!
PingLoop:       	Ping DC 2.0
DataCenterConnection: 	Restoring 0 messages to DC 2
DataCenterConnection: 	Flushing pending messages, DC 2
DataCenter:     	OK!
Connection:     	Connected to DC 3.0!
PingLoop:       	Ping DC 3.0
DataCenterConnection: 	Restoring 0 messages to DC 3
DataCenterConnection: 	Flushing pending messages, DC 3
DataCenter:     	OK!
Connection:     	Connected to DC 4_media.0!
Connection:     	Connecting to DC 4_media.1
Session:        	Resetting session in DC 4_media.1...
Connection:     	Connected to DC 2_media.0!
Connection:     	Connecting to DC 2_media.1
Session:        	Resetting session in DC 2_media.1...
Connection:     	Connected to DC 1.0!
PingLoop:       	Ping DC 1.0
DataCenterConnection: 	Restoring 0 messages to DC 1
DataCenterConnection: 	Flushing pending messages, DC 1
DataCenter:     	OK!
Connection:     	Connected to DC 5.0!
PingLoop:       	Ping DC 5.0
DataCenterConnection: 	Restoring 0 messages to DC 5
DataCenterConnection: 	Flushing pending messages, DC 5
DataCenter:     	OK!
Connection:     	Connected to DC 4_media.1!
Connection:     	Connecting to DC 4_media.2
Session:        	Resetting session in DC 4_media.2...
Connection:     	Connected to DC 2_media.1!
Connection:     	Connecting to DC 2_media.2
Session:        	Resetting session in DC 2_media.2...
Connection:     	Connected to DC 2_media.2!
Connection:     	Connecting to DC 2_media.3
Session:        	Resetting session in DC 2_media.3...
Connection:     	Connected to DC 4_media.2!
Connection:     	Connecting to DC 4_media.3
Session:        	Resetting session in DC 4_media.3...
Connection:     	Connected to DC 2_media.3!
Connection:     	Connecting to DC 2_media.4
Session:        	Resetting session in DC 2_media.4...
Connection:     	Connected to DC 4_media.3!
Connection:     	Connecting to DC 4_media.4
Session:        	Resetting session in DC 4_media.4...
Session:        	Garbage collected 3 incoming messages in DC 4, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session:        	Garbage collected 3 incoming messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 3 incoming messages in DC 3, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Connection:     	Connected to DC 2_media.4!
DataCenterConnection: 	Restoring 0 messages to DC 2_media
DataCenterConnection: 	Flushing pending messages, DC 2_media
DataCenter:     	OK!
Connection:     	Connected to DC 4_media.4!
DataCenterConnection: 	Restoring 0 messages to DC 4_media
DataCenterConnection: 	Flushing pending messages, DC 4_media
DataCenter:     	OK!
MTProto:        	Initing authorization...
DataCenterConnection: 	Initing auth for DC 2
PingLoop:       	Ping DC 2.0
DataCenterConnection: 	Initing auth for DC 1
DataCenterConnection: 	Initing auth for DC 3
PingLoop:       	Ping DC 3.0
DataCenterConnection: 	Initing auth for DC 4
PingLoop:       	Ping DC 4.0
DataCenterConnection: 	Initing auth for DC 5
DataCenterConnection: 	Initing auth for DC 2_media
DataCenterConnection: 	Initing auth for DC 4_media
MTProto:        	Done initing authorization!
MTProto:        	Starting update system
MTProto:        	Initing auth 2
InternalLoop:   	Waiting for auth in update feed loop generic
MTProto:        	Initing auth 2
InternalLoop:   	Waiting for auth in update feed loop generic
MTProto:        	Initing auth 2
InternalLoop:   	Waiting for auth in getUpdate loop generic
MTProto:        	Initing auth 2
InternalLoop:   	Waiting for auth in getUpdate loop generic
DataCenterConnection: 	Flushing pending messages, DC 2
DataCenterConnection: 	Flushing pending messages, DC 1
DataCenterConnection: 	Flushing pending messages, DC 2_media
DataCenterConnection: 	Flushing pending messages, DC 3
DataCenterConnection: 	Flushing pending messages, DC 4
DataCenterConnection: 	Flushing pending messages, DC 4_media
DataCenterConnection: 	Flushing pending messages, DC 5
MTProto:        	Initing auth 2
InternalLoop:   	Waiting for auth in update seq loop
MTProto:        	Initing auth 2
InternalLoop:   	Waiting for auth in update seq loop
DataCenter:     	Reconnecting to DC 2 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.167.51:443 main DC 2, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection: 	Already connected!
DataCenter:     	OK!
DataCenter:     	Reconnecting to DC 1 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.175.55:443 main DC 1, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection: 	Already connected!
DataCenter:     	OK!
